Species,Population,location,year1,focal_ID,mate_ID,focal_ID_sex,breeding_attempt,divorce,easting,northing,nest_dist,laying_date,clutch_size,fate,no_chick,male_weight,female_weight,tmin,tmax,prec,tmean
alexandrinus,kp_CN,bohai bay,2017,C495456,C495453,male,1,Divorced males,655890,4336911,46.22769733,07/05/2017,3,0,0,45.97,43.09,11.72,27,0,19.36
alexandrinus,kp_CN,bohai bay,2017,C495456,C495723,male,2,NA,655919,4336875,NA,07/05/2017,3,0,0,45.97,49.1,11.72,27,0,19.36
alexandrinus,kp_CN,bohai bay,2017,C495457,C495435,male,1,Divorced males,655428,4335988,18.43908891,29/04/2017,3,1,NA,46.67,NA,12.5,32.39,0,22.445
alexandrinus,kp_CN,bohai bay,2017,C495457,D345838,male,2,NA,655414,4335976,NA,23/06/2017,3,0,0,46.67,43.94,18.28,23.22,1.72,20.75
alexandrinus,kp_CN,bohai bay,2017,C495462,C495810,male,1,Retained couples,655570,4336180,3.16227766,04/05/2017,3,1,3,43.76,45.26,14.72,23.22,0.06,18.97
alexandrinus,kp_CN,bohai bay,2017,C495462,C495810,male,2,NA,655567,4336181,NA,20/06/2017,3,0,0,43.76,44.59,18.22,28.39,0,23.305
alexandrinus,kp_CN,bohai bay,2017,D345290,D345775,male,1,Divorced males,655102,4336702,18.38477631,27/05/2017,3,0,0,NA,45.6,15.72,24.22,0,19.97
alexandrinus,kp_CN,bohai bay,2017,D345290,D345824,male,2,NA,655089,4336689,NA,23/06/2017,3,1,NA,40.3,47.24,18.28,23.22,1.72,20.75
alexandrinus,kp_CN,bohai bay,2018,D345545,D345557,male,1,Divorced males,655224,4336258,128.724512,13/05/2018,3,1,2,46.77,43.47,13.11,27,0,20.055
alexandrinus,kp_CN,bohai bay,2018,D345545,D345904,male,2,NA,655317,4336169,NA,30/06/2018,3,NA,NA,46.77,49.21,21.28,30.39,1.02,25.835
alexandrinus,kp_CN,bohai bay,2019,D345291,D345875,male,1,Divorced males,655348,4336434,195.4737834,24/04/2019,3,1,3,47.28,45.5,NA,NA,NA,NA
alexandrinus,kp_CN,bohai bay,2019,D345291,D345557,male,2,NA,655439,4336261,NA,15/06/2019,3,1,3,43.8,40.01,NA,NA,NA,NA
alexandrinus,kp_CN,bohai bay,2019,D345572,D345546,male,1,Retained couples,655126,4336635,349.084517,07/05/2019,3,1,1,NA,NA,NA,NA,NA,NA
alexandrinus,kp_CN,bohai bay,2019,D345572,D345546,male,2,NA,655294,4336941,NA,13/06/2019,3,1,2,47.28,48.6,NA,NA,NA,NA
alexandrinus,kp_CN,bohai bay,2019,D345813,D345896,male,1,Divorced males,655334,4336141,37.44329045,24/04/2019,3,1,3,NA,46.91,NA,NA,NA,NA
